review_id,reviews.title,reviews.text,reviews.rating,sentiment_rating,human_sentiment,human_category,annotator,notes
R01060,The case itself is amazing. It looks good One person found this helpful. Was this review helpful to you Yes No,"I own the Merlot cover since it came with my Kindle Oasis. After paying near 300 for device and original cover I was hoping replacements would eventually come out. So when they did....I saw the 90 price tag and immediately became saddened. This was probably already in the works but, it was an idea I submitted to Amazon when I made my original purchase. The price is simply outrageous! The case itself is amazing. It looks good, smells good, and feels good. But, I can't afford this!",3,Neutral,Neutral,Price complaint,,
R00250,It is a pretty large charger though and doesn't fit in the kindle ...,"Very expensive charger. I think the kindle should come with it as does all other tablets, including the fire, which is way cheaper and includes the charger for just 50. It is a pretty large charger though and doesn't fit in the kindle box with the kindle, at all.",4,Positive,Negative,Product quality issue,,
R00409,Great look for Dot.,A great looking cover for the Echo Dot. It gives the Dot a softer and more elegant look. I feel that it is a little pricy for what you get but I do not regret my decision to buy this case.,5,Positive,Positive,Other,,
R01076,Awesome Headphones! Longevity An Issue 802 people found this helpful. Was this review helpful to you Yes No,"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,Neutral,Neutral,Product quality issue,,
R00015,"I Wanted a Dedicated E-Reader, and That's What I Got 3,129 people found this helpful. Was this review helpful to you Yes No","I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It's lightweight, even with the attached cover (I have an Amazon cover with a built-in light)5. Page-turning buttons are quiet and well-placed.6. Recharge time is fast.7. I can order a book and start reading it in less than 60 seconds. Nice!8. Portability... I can take 3,000 books with me when I travel for work and not require additional suitcases or baggage fees.Things I'm not too keen on1. Buttons are too close together and are laid out oddly.2. Lack of individual number buttons is frustrating.3. Power button on the bottom Not a bad thing. Just an odd thing. (Same for the headphone input). I usually rest the bottom of a book on my lap when I read.Things I hope change in the future1. How books are organized... When I put a book in a collection (which is actually a tag), it still appears in the main list. It's not actually moved, it's merely associated.2. The look of the main screen. I'd like folders or some other way to display collections.3. Ability to create personal screen savers.4. E-book pricing, though Amazon has little control over this. Still, most titles are the same price as or less than their hardback/paperback counterparts.Read more",4,Positive,Positive,Feature request,,
R01039,Worked great... For less than two months. One person found this helpful. Was this review helpful to you Yes No,"Ordered on April 16th, installed on my phone on April 21 and last Saturday (June 6th) on a warm Tucson day it just fell off. Landed on the car mat an all of the glue section was instantly covered in dirt. Washed it off with cool water only, let air dry and it won't stick back on. It's supposed to be washable and re-usable. Don't waste your money on this piece of trash. I expected it to last a lot longer than two months.",1,Negative,Negative,Product quality issue,,
R00112,Updated review (after 2 months)...,"I am updating my review from two months ago.. My initial review for the sling cover was based on first impressions after just receiving it. Today I have been using the Tap and sling daily for over the last two months and I felt like I needed to modify my review. I originally did not recommend this product, but after living with it, and growing to like it, I am changing my recommendation.The truth is, the base and top feel more protected than the appearance would have you believe. I have dropped it a couple times and it was protected by the sling. I think the rubber absorbs most of the force of the fall. Also, it has been sat into a puddle and the bottom is protected by the rubber sling.I initially was upset by the sling preventing me from charging on the charging dock, but it isn't as big of a problem as I thought it would be. I just pull off the bottom of the sling and charge it (leaving the top of the sling on). easy off and easy back on after.My only real lingering complaint would be the price. 20 for essentially a thin piece of rubber wrapping the top and bottom still seems a little excessive. I am increasing my stars by one. Really the price is the only thing keeping this from a 5 star for me. I have come to really like the sling. I have also bought a cheap pouch to throw it into while transporting it. That has eased my concerns about keeping it clean/safe while throwing it into a work bag.My original is below. Overall, I would (and have) recommended the sling to protect the Tap.Received the Tap and the Sling cover in the last 24 hours.Read more",4,Positive,Positive,Price complaint,,
R00089,"Detailed review of the Fire HD 7 - A great entry-level tablet at a great price! 1,","The Fire HD 7 is a great entry-level Fire Tablet that includes a 7 1200x800 216 ppi pixel density display. Pixel density wise, this is the lowest off all the Fire Tablets but is still decent enough where you're going to get a nice picture on the display. It's by no means an iPad killer or Galaxy Tab killer and you really shouldn't purchase it for that purpose. This particular model is really tailored to reading Kindle books, streaming video, browsing the web, checking email, and so forth. Bottom line, It's a great deal at 139. I'm going to compare the features of the HD 7 with the features of the other Fire Tablets to help you make an informed decision on which model to go with:*** DISPLAY ***The display is a 7 1200x800 resolution display with a 216 ppi pixel density which is not great, but not horrible either. It is the lowest pixel density of all the Fire Tablets with the Fire HD 6 coming in at 252 ppi, the Fire HDX coming in at 323 ppi, and the Fire HDX 8.9 coming in at 339 ppi. The human eye really can't distinguish individual pixels beyond a density of about 300 ppi so you're not going to be getting a noticeably pixelated display by any means. All in all, this is a nice display.*** PROCESSOR, GPU, AND ON-BOARD STORAGE ***The Fire HD 7 comes with a respectable 1.5 GHz quad-core processor with enough power to run almost all of your content with ease, including smooth video playback. It comes with a mediocre 1 GB of RAM which really is not sufficient in my opinion but it is what it is. THis is not an iPad or Galaxy Tab killer by any means, but it gives you just enough power to use the essential Amazon services you need.The HD 7 is substantially less powerful than the Snapdragon 2.2 GHz and 2.Read more",5,Positive,Positive,Other,,
R00349,"HD Fire 6 is great for the price! 3,555 people found this helpful. Was this review helpful to you Yes No","For the low price, this tablet really does more than expected! The camera isn't great however, I always use my phone for a camera so that doesn't effect me. Here are some of the pros and cons:Pros: Low cost yet high tech Great screen quality (of course there is better out there, but it looks great as is) Smooth and responsive Easy access to amazon prime content Easy to wirelessly share content to a TV Battery life Web browser works greatCons: Doesn't have some apps android users are used to having Camera quality isn't great and no flash Less 'extra features' than some higher priced tablets haveI opted to go with the 16gb version with no ads. The ads aren't a big deal, but I figured I would pass on having them on my screen. No matter what version you pick, they all do the same things. The gigs may or may not matter to you. 8 and 16 gigs both aren't very large, but if you want to predownload some tv shows, movies, music before a vacation, then you may want to look into getting the larger 16gig. If you will always have internet connection, then it isn't much a problem since you have unlimited cloud storage and can download to your device or stream at anytime you have internet.Overall... If you want an Amazon tablet, and you want the best, go with the HDX series. However, if you want an amazing tablet but don't want to spend as much, then these new HD 6 7 series are great! For me and my uses, the HD 6 is the perfect fit.I would suggest the 6 over the 7 for most buyers. The only 2 things the 7 has over the 6, are a larger screen, and dual speakers. Sure the dual speakers is kind of nice, but the screen is actually lower quality than the 6.Read more",5,Positive,Positive,Other,,
R00133,"After considering the price to purchase 3 of them and checking out the apps my husband and I were pretty sure we would purchase 1,","I purchased 3 of these Kindle kids edition tablets for my toddlers (ages 4,3,2 years old) And 1 non kids edition one for our older child for Easter. I was quite nervous that they'd break or the cases wouldn't be durable or that they wouldn't be able to use the apps they'd been using on my Samsung Tab S.After considering the price to purchase 3 of them and checking out the apps my husband and I were pretty sure we would purchase them. Then I came across the warranty. 2 year worry free guarantee! Are you kidding me I knew there had to be a catch, I couldn't find one and at that point we were convinced it would be a good investment.I ordered 3 (at the time pink and blue were our only color choices) So we have 1 pink and 2 blue. Which has caused a host of issues on the toddler level (identifying who's tablet is who's as you can imagine)They were easy to set up and create their own profiles and add apps to each of their tables . I love the unlimited freetime, they've had their tables for a few months now and can completely work them themselves and download the apps/movies/books that they want. I don't have to do it for them (with the exception of my 2 year old of course). I was able to link our Disney movies anywhere account with our Amazon account and now they can access all of our Disney digital movies on their tables! Which was a huge win for us! I do wish that Amazon could figure out a way for us to be able to link our Ultraviolet movies, it's a huge bummer that Amazon doesn't offer any app to make that possible. I also love that I can login to my Amazon account and send apps/movies etc to their tablets as I see fit, I can locate and page their tables when they are misplaced and remote lock them if I need to .Read more",4,Positive,Positive,Other,,
